Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
,https://upload.wikimedia.org/wikipedia/commons/f/f8/Tampa_Stadium1.jpg,"Source: Wikimedia, CC BY 3.0",https://commons.wikimedia.org/wiki/File:Tampa_Stadium1.jpg,"Opened in 1976, Tampa Stadium was only known as <b>Houlihan's Stadium</b> from 1996 to early 1999.  The stadium was home to the Tampa Bay Buccaneers and the Tampa Bay Rowdies. The Rowdies used the stadium during their time in the NASL, as an independent club and while in the ASL and APSL. Tampa Stadium was closed in September 1998 and demolished the next year. After the 1998 season, the Mutiny played at Raymond James Stadium for their last three seasons.",17,Plain,blue,"4201 N Dale Mabry Hwy, Tampa, FL 33607, USA",27.978889,-82.503611,,,,
Colorado Rapids,https://content.sportslogos.net/logos/9/328/full/exwxk96s5gfeu1iki34blm6ga.gif,Source: SportsLogos.Net,https://www.sportslogos.net/logos/view/exwxk96s5gfeu1iki34blm6ga/Colorado_Rapids/1996/Primary_Logo,"The <b>Colorado Rapids</b> was founded in 1995 as part of the Anschlutz Corporation and awarded an MLS franchise on June 6, 1995.",10,Hidden,,"Denver, CO, USA",39.7392358,-104.990251,,,,
,https://upload.wikimedia.org/wikipedia/commons/3/3a/Denver_Mile_High_Stadium_postcard_%28c._1970s-1980s%29.jpg,Source: Public Domain,https://commons.wikimedia.org/wiki/File:Denver_Mile_High_Stadium_postcard_(c._1970s-1980s).jpg,"Built in 1948, <b>Mile High Stadium</b> spent its first 20 years as Bears Stadium.  Initially home to Denver's minor league baseball clubs, the Denver Broncos began playing there in 1960. The Denver Dynamos and Colorado Caribous of the NASL played at Mile High and the MLB's Colorado Rockies played there for its initial couple of years. The stadium was closed in late 2001 and the Rapids moved to the new Invesco Field the following season.",17,Plain,red,"2755 W 17th Ave, Denver, CO 80204, USA",39.746111,-105.021667,,,,
Dallas Burn,https://content.sportslogos.net/logos/9/1483/full/b717p8hmpfn8kl54o24i7lsot.gif,Source: SportsLogos.Net,https://www.sportslogos.net/logos/view/b717p8hmpfn8kl54o24i7lsot/Dallas_Burn/1996/Primary_Logo,"The Dallas Burn MLS franchise was awarded on June 6, 1995. The club was renamed as FC Dallas starting with the 2004 season.",10,Hidden,,"Dallas, TX, USA",32.7766642,-96.7969879,,,,
,https://upload.wikimedia.org/wikipedia/commons/2/2e/Fair_Park_August_2016_40_%28Cotton_Bowl_Stadium%29.jpg,"Source: Wikimedia, CC BY-SA 4.0",https://commons.wikimedia.org/wiki/File:Fair_Park_August_2016_40_(Cotton_Bowl_Stadium).jpg,"The <b>Cotton Bowl Stadium</b> was built in 1930 and is best known as the venue for college football's annual Cotton Bowl game. The Dallas Cowboys played at the Cotton Bowl during the 1960s and the Dallas Tornado of the NASL used the venue for the 1967 and 1968 seasons. The Dallas Burn played at the Cotton Bowl from 1996 though 2002. The club moved to Dragon Stadium for the 2003 MLS season before returning to the Cotton Bowl for two more years. In 2005, FC Dallas moved to their new soccer specific venue, Toyota Stadium, in Frisco, Tex. beginning in 2005.",17,Plain,red,"1300 Robert B Cullum Blvd, Dallas, TX 75210, USA",32.78024,-96.7595,,,,
Kansas City Wiz,https://content.sportslogos.net/logos/9/1484/full/kansas_city_wiz-primary_19966018.png,Source: SportsLogos.Net,https://www.sportslogos.net/logos/view/6993/Kansas_City_Wiz/1996/Primary_Logo,"The Kansas City Wiz MLS franchise was awarded on June 6, 1995, the same day as the Dallas Burn and Colorado Rapids. Lamar Hunt, owner of the Kansas City Chiefs of the NFL and Dallas Tornado of the NASL, owned the Kansas City team until his death in 2006. Hunt was also owner of the Columbus Crew from founding until 2006 and Dallas Burn/FC Dallas from 2003 to 2006. The Wiz were renamed the Kansas City Wizards before the 1997 and, ultimately, Sporting Kansas City in late 2010.",10,Hidden,,"Kansas City, MO, USA",39.0997265,-94.5785667,,,,
,https://upload.wikimedia.org/wikipedia/commons/a/ac/Aerial_view_of_Arrowhead_Stadium_08-31-2013.jpg,"Source: Wikimedia, CC BY-SA 3.0",https://commons.wikimedia.org/wiki/File:Aerial_view_of_Arrowhead_Stadium_08-31-2013.jpg,"Opened in 1972, <b>Arrowhead Stadium</b> has been the home of the Kansas City Chiefs for its entire history. The Kansas City Wiz/Wizards played at Arrowhead from 1996 to 2007. Following that season, the Wizards moved to CommunityAmerica Ballpark in Kansas City, Kan. for three seasons before moving to their soccer-specific stadium, Livestrong Sporting Park.",17,Plain,red,"1 Arrowhead Dr, Kansas City, MO 64129, USA",39.048889,-94.483889,,,,
Los Angeles Galaxy,https://content.sportslogos.net/logos/9/331/full/la_galaxy-primary_19963315.png,Source: SportsLogos.Net,https://www.sportslogos.net/logos/view/1556/LA_Galaxy/1996/Primary_Logo,"Founded in 1994, the Los Angeles Galaxy nickname was taken from LA being home to the stars of Hollywood. The team made it to the 1996 MLS Cup final but lost 3-2 in extra time to D.C. United. The franchise was rebranded as the LA Galaxy starting with the 2007 season.",10,Hidden,,"Los Angeles, CA, USA",34.0522342,-118.2436849,,,,
,https://upload.wikimedia.org/wikipedia/commons/4/4f/2018.06.17_Over_the_Rose_Bowl%2C_Pasadena%2C_CA_USA_0039_%2842855669451%29_%28cropped%29.jpg,"Source: Wikimedia, CC BY-SA 2.0","https://commons.wikimedia.org/wiki/File:2018.06.17_Over_the_Rose_Bowl,_Pasadena,_CA_USA_0039_(42855669451)_(cropped).jpg","Opened in late 1922, the <b>Rose Bowl Stadium</b> is recognized as a National Historic Landmark. The stadium has been home to the annual Rose Bowl game for its entire existence. It was home to the NASL's Los Angeles Wolves in 1968 and Los Angeles Aztecs in 1978 and 1979. The Los Angeles Galaxy played at the Rose Bowl through the 2002 MLS season. The Galaxy moved into its soccer-specific stadium, the Home Depot Center, located in Carson, Cali. beginning the following season.",17,Plain,red,"1001 Rose Bowl Dr, Pasadena, CA 91103, USA",34.161,-118.168,,,,
San Jose Clash,https://content.sportslogos.net/logos/9/1481/full/san_jose_clash-primary_19968337.png,Source: SportsLogos.Net,https://www.sportslogos.net/logos/view/6192/San_Jose_Clash/1996/Primary_Logo,"Daniel Van Voorhis, former owner of the APSL's San Jose Hawks, was awarded the San Jose MLS franchise on June 15, 1994. he made agreement handing all existing player contracts, front office resources, and the right to play at San Jose State University's Spartan Stadium in exchange for Type C stock in the league. He was forced to divest himself of the franchise's investor operator positions prior to the launch of the league. The team became known as the San Jose Clash at the urging of Nike, a major investor in MLS at its launch.",10,Hidden,,"San Jose, CA, USA",37.33874,-121.8852525,,,,
,https://upload.wikimedia.org/wikipedia/commons/6/66/SPStaSJ.jpg,Source: Public Domain,https://commons.wikimedia.org/wiki/File:SPStaSJ.jpg,"<b>Spartan Stadium</b> was built in 1933 and is owned by San Jose State University and primarily used for college football. Spartan Stadium was home to the original San Jose Earthquakes of the NASL and WSA and the San Francisco Bay Blackhawks/San Jose Hawks of the WSA, APSL and USISL. In addition the Bay Area/San Jose CyberRays of the WUSA played at Spartan Stadium. The stadium was renamed CEFCU Stadium in late 2016.",17,Plain,red,"1257 S 10th St, San Jose, CA 95112, USA",37.319722,-121.868333,,,,
Athletic Park,,,,Athletic Park was used by the St. Louis Soccer Football League from the 1907-08 to 1910-11 seasons. It was home to the St. Louis Giants Negro league basball team soon after that. It is now the site of Yeatman Square Park. <b>This is a demo to show how old maps can be overlayed on a Leaflet Storymap.</b>,18,Plain,green,"1820 Glasgow Ave, St. Louis, MO 63106, USA",38.64898,-90.21642,https://mapwarper.net/maps/tile/67109/{z}/{x}/{y}.png,0.7,,
